Gene_name GCF_000007925.1_ASM792v1_genomic.gff GCF_000011465.1_ASM1146v1_genomic.gff GCF_000012465.1_ASM1246v1_genomic.gff GCF_000012645.1_ASM1264v1_genomic.gff GCF_000015645.1_ASM1564v1_genomic.gff GCF_000015665.1_ASM1566v1_genomic.gff GCF_000015685.1_ASM1568v1_genomic.gff GCF_000015965.1_ASM1596v1_genomic.gff GCF_000018065.1_ASM1806v1_genomic.gff
rlmB_1 0 0 0 1 0 0 0 0 0
ppiB_1 0 0 0 1 0 0 0 0 0
rutF 0 0 0 1 1 0 0 1 1
folP 0 0 0 1 1 1 1 1 1
gpt 0 0 0 1 1 1 0 1 1
pepE 0 0 0 1 0 0 1 1 0
gpx2 0 0 0 1 1 1 0 1 0
dus 0 0 0 1 0 0 0 1 1
dacA 0 0 0 1 1 0 0 1 1
msbA 0 0 0 1 0 1 0 1 0
phoB 0 0 0 1 1 1 0 1 1
crtNb 0 0 0 1 1 0 1 1 0
occM 0 0 0 1 0 0 0 0 0
psbF_2 0 0 0 1 1 1 0 0 1
comC 0 0 0 1 0 0 0 0 0
pilT 0 0 0 1 0 0 0 1 0
sctC 0 0 0 1 0 0 0 0 0
ppiB_2 0 0 0 1 0 0 0 0 0
pnp 0 0 0 1 0 0 0 0 0
wbpD 0 0 0 1 0 0 0 0 0
wbpA 0 0 0 1 0 0 0 0 1
apsD 0 0 0 1 1 0 0 0 0
acoA_1 0 0 0 1 0 0 0 0 0
acoB 0 0 0 1 0 0 0 0 0
manC1_1 0 0 0 1 0 0 0 0 0
pglA 0 0 0 1 0 0 0 0 0
manC1_2 0 0 0 1 0 0 0 0 0
gmhA_1 0 0 0 1 0 0 0 0 0
kdsB 0 0 0 1 0 0 0 0 0
neuB 0 0 0 1 0 0 0 0 0
gmhA_2 0 0 0 1 0 0 0 0 0
kduD 0 0 0 1 0 0 0 0 0
sdhA 0 0 0 1 1 0 0 1 0
ispF 0 0 0 1 0 0 0 0 1
era 0 0 0 1 0 1 0 0 0
acoA_2 0 0 0 1 0 0 0 0 0
sigA_2 0 0 0 1 0 0 0 0 0
rlmB_2 0 0 0 1 0 0 0 0 0
murA 0 0 0 1 1 0 0 1 0
prmA 0 0 0 1 0 0 0 0 0
der_3 0 0 0 1 0 0 0 0 0
petF1 0 0 0 1 0 0 0 0 0
nusA_2 0 0 0 1 0 0 0 0 0
alr 0 0 0 1 1 0 0 0 0
rpsE 0 0 0 1 1 0 0 1 1
walR_2 0 0 0 1 0 0 0 0 0
mreC 0 0 0 1 0 0 0 0 0
lig_3 0 0 0 1 0 0 0 0 0
pabB 0 0 0 1 0 0 0 0 1
hrdA 0 0 0 1 1 1 0 1 1
lapB 0 0 0 0 1 0 1 1 1
ctpB 0 0 0 0 1 0 0 0 0
cry2 0 0 0 0 1 1 0 1 1
hisF_1 0 0 0 0 1 0 1 1 0
ypwA 0 0 0 0 1 0 0 1 0
tam 0 0 0 0 1 0 0 0 1
phnE 0 0 0 0 1 0 0 0 1
ddpX_3 0 0 0 0 1 1 0 0 0
ubiH 0 0 0 0 1 1 0 1 1
scaC 0 0 0 0 1 1 0 0 1
hisH_1 0 0 0 0 1 0 1 1 0
rpoE 0 0 0 0 1 0 0 0 0
yedK 0 0 0 0 1 0 0 0 0
legF 0 0 0 0 1 0 0 1 1
futA1 0 0 0 0 1 0 0 0 0
novW 0 0 0 0 1 0 0 0 0
fdtC 0 0 0 0 1 0 0 0 0
pglF 0 0 0 0 1 0 0 0 0
wecA 0 0 0 0 1 1 0 1 0
hisF_2 0 0 0 0 1 0 1 1 0
hisH_2 0 0 0 0 1 0 1 1 0
hldD_1 0 0 0 0 1 0 0 0 0
legI 0 0 0 0 1 0 1 1 1
hlyD 0 0 0 0 1 0 0 0 0
galE 0 0 0 0 1 1 0 0 0
hldD_2 0 0 0 0 1 0 0 0 0
folC 0 0 0 0 1 1 0 1 1
purC_1 0 0 0 0 1 0 0 0 0
purC_2 0 0 0 0 1 0 0 0 0
petF_1 0 0 0 0 1 0 0 1 0
hscA 0 0 0 0 1 0 0 0 1
petF_2 0 0 0 0 1 0 0 1 0
dsbD 0 0 0 0 1 0 0 0 0
bioC 0 0 0 0 1 0 0 0 1
dinG 0 0 0 0 1 0 0 0 0
lip3 0 0 0 0 1 0 0 0 1
mnmE_1 0 0 0 0 0 1 0 0 0
folK 0 0 0 0 0 1 0 1 1
soxA 0 0 0 0 0 1 0 0 1
amt 0 0 0 0 0 1 0 0 0
ctaE_1 0 0 0 0 0 1 0 0 1
ctaD_1 0 0 0 0 0 1 0 0 1
ftsI 0 0 0 0 0 1 0 0 0
ephD 0 0 0 0 0 1 0 0 0
glmU_1 0 0 0 0 0 1 1 0 0
mpdB_1 0 0 0 0 0 1 0 0 0
gmm 0 0 0 0 0 1 0 0 1
dbpA 0 0 0 0 0 1 0 0 0
ppaX_1 0 0 0 0 0 1 0 0 0
hemG 0 0 0 0 0 1 0 0 1
mnmE_2 0 0 0 0 0 1 0 0 0
yedP 0 0 0 0 0 1 0 0 0
udk_1 0 0 0 0 0 1 0 0 0
ispU 0 0 0 0 0 1 0 0 0
ctaD_2 0 0 0 0 0 1 0 0 1
ctaE_2 0 0 0 0 0 1 0 0 1
mpdB_2 0 0 0 0 0 1 0 0 0
gtfA_1 0 0 0 0 0 1 0 0 0
gtfA_2 0 0 0 0 0 1 0 0 0
gtfA_3 0 0 0 0 0 1 0 0 0
colD 0 0 0 0 0 1 0 0 0
fcl_3 0 0 0 0 0 1 0 0 0
glmU_2 0 0 0 0 0 1 1 0 0
udk_2 0 0 0 0 0 1 0 0 0
ppaX_2 0 0 0 0 0 1 0 0 0
rffH 0 0 0 0 0 1 1 0 1
rmlC 0 0 0 0 0 1 0 0 0
APOA1BP 0 0 0 0 0 1 0 0 0
rpmJ 0 0 0 0 0 1 0 0 0
mbl 0 0 0 0 0 1 0 0 0
cmoM_1 0 0 0 0 0 0 1 0 0
estB 0 0 0 0 0 0 1 0 0
cpcS 0 0 0 0 0 0 1 0 0
ndhB_1 0 0 0 0 0 0 1 0 0
ndhB_2 0 0 0 0 0 0 1 0 0
yciC 0 0 0 0 0 0 1 0 0
cbiX 0 0 0 0 0 0 1 0 0
kmo_1 0 0 0 0 0 0 1 0 0
wecB 0 0 0 0 0 0 1 0 0
wecC 0 0 0 0 0 0 1 0 0
asnO 0 0 0 0 0 0 1 0 0
siaA 0 0 0 0 0 0 1 0 0
neuA 0 0 0 0 0 0 1 0 1
kmo_2 0 0 0 0 0 0 1 0 0
cmoM_2 0 0 0 0 0 0 1 0 0
prsA 0 0 0 0 0 0 1 0 0
mshA_5 0 0 0 0 0 0 1 0 0
aroF 0 0 0 0 0 0 1 0 0
mshA_6 0 0 0 0 0 0 1 0 0
thiL_1 0 0 0 0 0 0 0 1 0
der 0 0 0 0 0 0 0 1 0
pppA 0 0 0 0 0 0 0 1 0
pilQ 0 0 0 0 0 0 0 1 0
phnE_1 0 0 0 0 0 0 0 1 0
yxdL 0 0 0 0 0 0 0 1 0
pstS_1 0 0 0 0 0 0 0 1 0
ybiX 0 0 0 0 0 0 0 1 0
pstS_2 0 0 0 0 0 0 0 1 0
phnD2 0 0 0 0 0 0 0 1 0
phnE_2 0 0 0 0 0 0 0 1 0
ptxD 0 0 0 0 0 0 0 1 0
phnY 0 0 0 0 0 0 0 1 0
phnZ 0 0 0 0 0 0 0 1 0
nitA 0 0 0 0 0 0 0 1 0
thiL_2 0 0 0 0 0 0 0 1 0
bphF 0 0 0 0 0 0 0 1 0
kpsU 0 0 0 0 0 0 0 1 0
legG 0 0 0 0 0 0 0 1 1
epsM 0 0 0 0 0 0 0 1 0
epsN 0 0 0 0 0 0 0 1 0
rmlB 0 0 0 0 0 0 0 1 0
linC 0 0 0 0 0 0 0 1 0
strB1 0 0 0 0 0 0 0 1 0
mtnN 0 0 0 0 0 0 0 1 1
era_3 0 0 0 0 0 0 0 1 0
hin 0 0 0 0 0 0 0 1 1
galE_3 0 0 0 0 0 0 0 1 0
mreB_1 0 0 0 0 0 0 0 0 1
murA_1 0 0 0 0 0 0 0 0 1
moaA_1 0 0 0 0 0 0 0 0 1
secDF 0 0 0 0 0 0 0 0 1
nqrF 0 0 0 0 0 0 0 0 1
apt_1 0 0 0 0 0 0 0 0 1
arnT 0 0 0 0 0 0 0 0 1
rfbE_1 0 0 0 0 0 0 0 0 1
ttuE 0 0 0 0 0 0 0 0 1
gmhB 0 0 0 0 0 0 0 0 1
hddC 0 0 0 0 0 0 0 0 1
hddA 0 0 0 0 0 0 0 0 1
rmd_1 0 0 0 0 0 0 0 0 1
hldD 0 0 0 0 0 0 0 0 1
rfbC_1 0 0 0 0 0 0 0 0 1
iolX 0 0 0 0 0 0 0 0 1
rmd_2 0 0 0 0 0 0 0 0 1
rfbE_2 0 0 0 0 0 0 0 0 1
rfbC_2 0 0 0 0 0 0 0 0 1
tuaA 0 0 0 0 0 0 0 0 1
gtfA 0 0 0 0 0 0 0 0 1
apt_2 0 0 0 0 0 0 0 0 1
moaA_2 0 0 0 0 0 0 0 0 1
asnB_1 0 0 0 0 0 0 0 0 1
asnB_2 0 0 0 0 0 0 0 0 1
murA_2 0 0 0 0 0 0 0 0 1
lpxB 0 0 0 0 0 0 0 0 1
fdhL 0 0 0 0 0 0 0 0 1
mreB_2 0 0 0 0 0 0 0 0 1
